n,trim_mean_ms,trim_stdev_ms,factor
50,0.008608,0.000044,1.347826
100,0.016950,0.000054,1.294118
200,0.036306,0.000109,1.346154
500,0.093401,0.000359,1.352941
1000,0.188493,0.002105,1.380671
2000,0.382495,0.009015,1.364271
5000,0.924626,0.001355,1.357143
